	deck	set_id
0	Zim who is Deliberately Hot	496
1	Herr U. Quill‑ance	496
2	Capitol the Bellicose	496
3	Théo “Domino”, fermier du musée	479
4	Dounia la liquide, prophétesse de la base	479
5	Eternally Crafty Auto	496
6	Fullleaf the “Writer”	496
7	Christian “Vampire” le défenseur	452
8	Incisive Eileen of the Asylum	496
9	Escolta Côté	496
10	The Woman who is Inherently Renowned	496
11	Escalade, the Rogue of Stability	496
12	Líder Gremial Jhe	496
13	Xixoera's Underhanded Villain’s Evil Twin	496
14	Penelope who Obsesses over Labor	496
15	Ladanian the Foolishly Super	496
16	“Pugnale”, Segretaria di Rifugiorugoso	496
17	Yan, Drytavern Rogue	496
18	Scarlety, the “Banker” of The Snake	435
19	Wagner of Greenboro	496
20	Bowne, Darkslum’s Platinum Sentinel	479
21	Bastien, il Falso del Libro Lucente	496
22	Rimush H. il Terribile	496
23	Thravi Craon, Osservatore di Rotulafurba	496
24	N. Vassago, the Swamp Soothsayer	452
25	K. Machiao, the Center Drone	479
26	Davent, the Chairperson of Pegandacity	479
27	The Teacher that Forges Evolution	341
28	Janessa X. Qiquinten, the Eighth	479
29	Edler „Ego“ Goldmüller	435
30	K. Hauser, Strategin der grotesken Kirche	435
31	Laurin, Wrestler der Kirche	341
32	Leif “Copycat”, a Taciturna	341
33	Meister Vargas von der Schlucht	452
34	Dichter „Igel“ Klose	496
35	They that Changed Computers	452
36	Judas, Outerwarren Braggart	479
37	The Dogwalker that Reconceives Radicals	452
38	锈蚀潜行者	496
39	Francesco from the Town of City‑States	496
40	The Scribe that Bows Down to Art	435
41	Fieldsmith Qiuky	435
42	Overboss Rorhana, the Competitive Urchin	435
43	Lord S. Slydoom	435
44	Everchain, She that Unifies the Market	435
45	Cursemaster, Barony Survivalist	435
46	Hardison the Mournful	435
47	Mustarap, the “Queen” of Victory	435
48	The Haphazard Queen Herald of Bonestone	435
49	“Yodomodo” Melito, Aerodrome Castellan	435
50	Iguichain, the “Blazefighter” of Traffic	435
51	Brewpliers, He who Steps on the Rock	435
52	Owlplot of the Archaeologist’s Ironworks	496
53	Émile le prudent, gouverneur du théatre	479
54	Roxanne, la Corazzata del Campo Povero	452
55	Jessamine Song, Portavoz de Tectorcorner	341
56	P. U. Walker, Pescador del Brillo	452
57	Cain el Práctico	341
58	Laila “Mariposa”, Privada del Bazar	452
59	Edda Svenson, Saqueadora de Spireinge	341
60	Sarah, la Vuota della Prigione Tetra	496
61	Chisholm, Campione Grottesco	496
62	Astrid “Medusa”, Prodigio del Tavolo	496
63	Stabata Biggs, Mutaforma di Cariesolare	435
64	Thorbjorg G. il Puro	341
65	Xen “Snarktopus” Sunbeard	452
66	The Pandit of Greenstream Crossing	341
67	Lord Cravmalm, the Grey General	435
68	Icarus l’Astuto, Sergente della Discarica	479
69	Cuvier, Grassfield's Minister	341
70	F. B. Che Vede la Taverna dell’Iridescenza	479
71	Ernesto, the Messenger of Politics	452
72	Stanley, Allenatrice Abominevole	479
73	Jasmine C. l’Arrugginita	341
74	Gwenne Halford, Docente di Baitamitica	479
75	Polluce, l’Ardente della Perla Malvagia	452
76	Zoe la Caritatevole, Eccellenza dell’Apatia	452
77	Ephraim “Director Honda” Clarke	452
78	Bjorn “Índigo”, Imperator de la Región	452
79	C. R. Peters, Criminale della Collera	435
80	Lucrezia l’Urlatrice, Ceramista dell’Uovo	435
81	Nina G. la Tenace	435
82	Havilah la Azur	341
83	I. X. Che Guida l’Enigma del Tulipano	452
84	Nilsson of Mistbog	341
85	Eminence “Ziz” Livius	341
86	Nunclebolt, the Outlaw of the Rainforest	452
87	“Meteora”, Assistente di Zeccaviola	452
88	Lito, Fortress Thespian	452
89	Gemello di Hoang, Difensore Furbo	496
90	Caspar, Lumpensammler des Zoos	479
91	Vogel S. Uniax, the Eighth	479
92	“Céleste”, prévôte de Joaoline	435
93	Cephalorazer, the Geeky Metropolis Techie	452
94	The Zealot that Fools Courage	452
95	Citizen Dromitops, the Backwards Sentinel	479
96	Szafirowy Zenon z Amuletu	452
97	Ola, Założycielka z Prawej Nysy	452
98	Silence of Rocketfactory Peak	341
99	Z. Shield, el Fluido	341
100	Gerda, a Amável, Dama da Voltagem	341
101	Xanadu, l’Arrugginito della Serra Azzurra	496
102	Tsakpress, the Harrier of Innocence	496
103	Hecate la Rabiosa, Joyera de Rojo	452
104	Omega “Bigotes”, el Diligente	452
105	Pleasantbay’s Civil Baron	496
106	“铁锤”欧图勒先知	496
107	完美者瑞德	496
108	来自行宫的波阿斯·赫尔斯特伦	496
109	峡湾反叛者“银河”莎薇琪	496
110	“Dirigibile”, Contadino di Maltospaziale	341
111	來自都城的​艾達·斯科特	479
112	“斯芬克斯總管”​奧古斯都·斯通	479
113	“真銀教授”​塞西莉·克裡姆森	479
114	“戰斧”沃克領主	496
115	Alfar, Pirat der Zukunft	452
116	Romualdo „Der eisige Tatzelwurm“	479
117	Die rasante „Rattenfängerin“ Xena	479
118	Cloe “Gamma”, Bibliotecaria della Spilla	435
119	Meyer, Gangster Calma	496
120	Erica “Tiranna” la Devota	341
121	Sonopuri's Undulating Seeker	496
122	Allain la Feroz del Pueblo Arbóreo	479
123	Gerges, the Witch of The Spire	496
124	"""No Bark"" Nat Heilig’s Evil Twin"	496
125	Threepie, the Funny Daughter	496
126	Q. O. Karpov, drone du chagrin	496
127	“Rebelle”, patricienne de Bataillester	496
128	Modospore who Takes Out Vipers	496
129	"""Cleaner"" Jenny Rusalka"	496
130	브루노 가문의 첫째 아들, 켈르	496
131	Shad “Boisterous” Tsaknose	496
132	Aurora, Mountain Father	496
133	He who Boasts of Wards	496
134	그리핀도 가문의 구원자, 살바에타	496
135	워킹의 자손, 파노온다	496
136	The Traveller of Horror and Misinformation	496
137	"Teodora ""Four‑Limbs"" Herres"	496
138	Colin “Buzz”, lieutenant du rocher	479
139	Miqueline Cooper, margravine de Landozal	479
140	“Galette”, dissidente de Wolfjoll	479
141	Министр Рейв	479
142	N. Hexx, el Deshonesto	341
143	Памела, леди из комиксов	452
144	Karmala Q. l’Abbandonata	496
145	F. Gurgenidze, the Mine Tutor	341
146	Borghild l’Armata, Maestra del Canyon	341
147	Beulah “Scimmia” la Rifiutata	341
148	H. X. Che Venera la Rupe della Malvagità	479
149	永固精算师	496
150	Samarford, Forest Speedster	496
151	The Mortally Luminous Archer of Spikesea	452
152	Powergiver the “Bailiff”	496
153	Sir Kama of Southpoint	496
154	Scathing Ranger Searpoke	496
155	C. Garand, marraine de Santakull	496
156	Mäkelä the Grandly Homely	496
157	Perfectly Pugnacious Metaprint	496
158	Gaar, Tavernkeep of Downquarter	496
159	Gentleman “Kuppan Suppan” Ruther	496
160	Bishop the Calculating	496
161	Francine l'argentée	496
162	Clyde I., Ribelle Che Assaggia l’Agitazione	452
163	Syn “Sfumeggiante”, Adepta del Reame	452
164	Croft, Oracolo Solitaria	479
165	“Lince”, Paladina di Cordaverde	341
166	V. Salkhi, Padre di Vestepiatta	341
167	Feron “Tigre”, Guerriero del Baratro	341
168	Luther N. il Cieco	341
169	Van Damien, Artista Robotica	341
170	Jasmine Ortix, Comandante di Scorzabassa	435
171	“疾馳”​伊西卡先生	452
172	市集勘探者​比約恩	452
173	Ender Hlagur Longtaur	341
174	The Fearsome Advisor of Fallowspur	341
175	Portorar Hudson, Councillor	496
176	Championne “Araignée” Torres	479
177	W. Robert, marchand de Downpos	479
178	Yann le sceptique, malandrin de la retraite	479
179	Ambre, doyenne du jardin gémissant	479
180	“Caïd”, hacker de Vapidvalley	479
181	“Valkyrie”, Maréchale de Typhonskeep	479
182	Zerocat, the “Shipbreaker” of Keys	341
183	Ulagan, Firebrand of the Focused Arena	452
184	Ghoa R. Hadarin, The Wild	452
185	Wilfried “Boomer”, poète de l'oasis	479
186	“Épigone”, général de Weststock	479
187	F. R. Roscoe, négociatrice de la famine	479
188	Édith “Enclume”, conseillère du chalet	479
189	Thimothé, guérisseur de l'asile horrifique	479
190	E. Boulanger, la nébuleuse	479
191	Yvonne, doyenne du logis acide	479
192	Capitaine N. Griffith	479
193	F. R. Robinson, fondatrice de la grandeur	479
194	Passionaria G. Menard	479
195	Capitaine “Personna” Julius	479
196	L. Ortiz, l'enragée	479
197	Romain “Doc”, artiste du champ	479
198	Jesperson of Crahncourt	496
199	Husher of Dustlake	452
200	Haukea, Paragon of the Doomed Vents	479
201	Powerera, Spawn of Marmafork	452
202	Vlaad the Stalwart	496
203	The Storm that Lies about the Alleyway	496
204	The Composed Mercenary Oracle	496
205	Forrest, Pythonic Barnyard Artist	435
206	Mavadust of the Editor’s Courtyard	496
207	Fronto from the Burrow of Aspirations	496
208	The Everyday Overseer	341
209	Mostly Fire-eating Ishmael	341
210	Evil Twin of Mrs. Zora E. Vaultinghause	496
211	Shayna Hydrospeck from the Baker's Belt	435
212	Quegdisk, the Locksmith Mayor	435
213	아름다움의 유튜버, 보르벤슨	496
214	正义者毕夏普	479
215	道场法师​“铁拳”奥尔加	479
216	峡湾献媚者​“狮鹫”克里尔	479
217	来自城邦的​罗穆卢斯·因格	479
