	count	day	week
0	158016	Nov 25	1
1	218733	Dec 2	2
2	268026	Dec 9	3
3	311895	Dec 16	4
4	358098	Dec 23	5
5	410410	Dec 30	6
6	449141	Jan 6	7
7	484733	Jan 13	8
8	514875	Jan 20	9
9	542482	Jan 27	10
10	567390	Feb 3	11
11	588272	Feb 10	12
12	612802	Feb 17	13
13	637707	Feb 24	14
14	661436	Mar 3	15
15	682800	Mar 10	16
16	705082	Mar 17	17
17	726629	Mar 24	18
18	746798	Mar 31	19
19	765487	Apr 7	20
20	781028	Apr 14	21
21	796341	Apr 21	22
22	808626	Apr 28	23
23	820202	May 5	24
24	831495	May 12	25
25	842115	May 19	26
26	851958	May 26	27
27	907925	Jun 2	28
28	960041	Jun 9	29
29	993650	Jun 16	30
30	1023340	Jun 23	31
31	1048610	Jun 30	32
32	1070131	Jul 7	33
33	1091245	Jul 14	34
34	1112175	Jul 21	35
35	1133563	Jul 28	36
36	1159949	Aug 4	37
37	1184302	Aug 11	38
38	1204366	Aug 18	39
39	1223308	Aug 25	40
40	1241919	Sep 1	41
41	1257431	Sep 8	42
42	1271526	Sep 15	43
43	1285085	Sep 22	44
44	1297746	Sep 29	45
45	1310925	Oct 6	46
46	1323397	Oct 13	47
47	1335482	Oct 20	48
48	1348462	Oct 27	49
49	1361276	Nov 3	50
50	1403570	Nov 10	51
51	1451393	Nov 17	52
52	1480745	Nov 24	53
53	1502119	Dec 1	54
54	1528834	Dec 8	55
55	1550982	Dec 15	56
56	1570683	Dec 22	57
57	1595322	Dec 29	58
58	1614194	Jan 5	59
59	1631960	Jan 12	60
60	1648776	Jan 19	61
61	1664830	Jan 26	62
62	1681211	Feb 2	63
63	1695693	Feb 9	64
64	1713873	Feb 16	65
65	1726447	Feb 23	66
66	1738317	Mar 1	67
67	1750507	Mar 8	68
68	1760062	Mar 15	69
69	1766831	Mar 22	70
70	1771677	Mar 29	71
71	1775828	Apr 5	72
72	1779788	Apr 12	73
73	1784016	Apr 19	74
74	1788030	Apr 26	75
75	1791936	May 3	76
76	1795764	May 10	77
77	1801047	May 17	78
78	1805679	May 24	79
79	1814821	May 31	80
80	1825832	Jun 7	81
81	1833307	Jun 14	82
82	1840314	Jun 21	83
83	1845604	Jun 28	84
84	1851568	Jul 5	85
85	1882009	Jul 12	86
86	1918689	Jul 19	87
87	1944323	Jul 26	88
88	1962893	Aug 2	89
89	1976710	Aug 9	90
90	1987082	Aug 16	91
91	1996842	Aug 23	92
92	2005245	Aug 30	93
93	2014350	Sep 6	94
94	2022263	Sep 13	95
95	2030916	Sep 20	96
96	2038949	Sep 27	97
97	2046823	Oct 4	98
98	2054041	Oct 11	99
99	2060177	Oct 18	100
100	2067619	Oct 25	101
101	2076811	Nov 1	102
102	2083661	Nov 8	103
103	2090011	Nov 15	104
104	2096236	Nov 22	105
105	2103205	Nov 29	106
106	2111082	Dec 6	107
107	2117072	Dec 13	108
108	2124173	Dec 20	109
109	2132964	Dec 27	110
110	2140180	Jan 3	111
111	2149788	Jan 10	112
112	2156773	Jan 17	113
113	2162860	Jan 24	114
114	2169322	Jan 31	115
115	2176378	Feb 7	116
116	2182344	Feb 14	117
117	2188012	Feb 21	118
118	2193073	Feb 28	119
119	2199799	Mar 7	120
120	2206517	Mar 14	121
121	2213017	Mar 21	122
122	2220233	Mar 28	123
123	2226398	Apr 4	124
124	2233166	Apr 11	125
125	2256253	Apr 18	126
126	2270314	Apr 25	127
127	2281544	May 2	128
128	2290966	May 9	129
129	2308213	May 16	130
130	2332833	May 23	131
131	2346868	May 30	132
132	2359112	Jun 6	133
133	2368328	Jun 13	134
134	2377188	Jun 20	135
135	2384362	Jun 27	136
136	2391312	Jul 04	137
137	2399203	Jul 11	138
138	2406672	Jul 18	139
139	2413273	Jul 25	140
140	2419440	Aug 01	141
141	2425048	Aug 08	142
142	2431634	Aug 15	143
